id;start_date;end_date;schedule_description;intensity
1;2025-11-09T23:59:40;2025-11-10T13:18:23;../fake-data/blob/hipster.txt;EASY
2;2025-11-10T06:22:42;2025-11-09T18:12:03;../fake-data/blob/hipster.txt;INTENSE
3;2025-11-10T15:48:52;2025-11-10T10:53:59;../fake-data/blob/hipster.txt;INTERMEDIATE
4;2025-11-10T02:50:41;2025-11-10T09:32:53;../fake-data/blob/hipster.txt;EASY
5;2025-11-10T00:11:05;2025-11-10T11:49:39;../fake-data/blob/hipster.txt;EASY
6;2025-11-10T03:46:25;2025-11-10T02:57:51;../fake-data/blob/hipster.txt;INTENSE
7;2025-11-09T16:52:38;2025-11-10T01:34:35;../fake-data/blob/hipster.txt;INTENSE
8;2025-11-10T12:04:54;2025-11-09T21:47:37;../fake-data/blob/hipster.txt;INTENSE
9;2025-11-09T22:25:07;2025-11-10T07:47:14;../fake-data/blob/hipster.txt;INTERMEDIATE
10;2025-11-10T04:00:11;2025-11-10T03:26:47;../fake-data/blob/hipster.txt;EASY
